"Địa điểm","MÃ","TÊN TOUR","DANH MỤC TOUR","THỜI GIAN","PHƯƠNG TIỆN","GIÁ NGƯỜI LỚN","GIÁ TRẺ EM","MÔ TẢ NGẮN","LỊCH TRÌNH","BAO GỒM","KHÔNG BAO GỒM","TỪ KHÓA","ĐIỀU KHOẢN","ẢNH TOUR"
"ĐÀ NẴNG","DN01","Đà Nẵng: Bà Nà Hills - Hội An - Cù Lao Chàm 3N2Đ","Tour Miền Trung","3 ngày 2 đêm","Xe ô tô du lịch","3.250.000 đ","2.450.000 đ","Khám phá trọn vẹn nét đẹp Đà Nẵng với Cầu Vàng Bà Nà, phố cổ Hội An và đảo ngọc Cù Lao Chàm.","N1: Đón sân bay - Sơn Trà - Ngũ Hành Sơn - Hội An (Ăn T/T). N2: Đà Nẵng - Bà Nà Hills - Cầu Vàng (Ăn S/T/T). N3: Cù Lao Chàm - Mua sắm đặc sản - Tiễn khách (Ăn S/T).","Xe đưa đón, KS 3 sao, các bữa ăn theo chương trình, vé tham quan các điểm (trừ Bà Nà), HDV, bảo hiểm.","Vé cáp treo Bà Nà, thuế VAT, tiền tip, chi phí cá nhân.","da nang, ba na hills, hoi an, cu lao cham, tour 3n2d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%; Hủy trong 24h phạt 100%.",""
"","DN02","Đà Nẵng: Sơn Trà - Ngũ Hành Sơn - Phố Cổ Hội An 1 Ngày","Tour Miền Trung","1 ngày","Xe ô tô du lịch","650.000 đ","480.000 đ","Chuyến đi ngắn ngày khám phá bán đảo Sơn Trà, danh thắng Ngũ Hành Sơn và không gian lung linh phố cổ Hội An.","08:00: Đón tại KS - Bán đảo Sơn Trà - Chùa Linh Ứng. 11:30: Ăn trưa bún chả cá. 14:00: Ngũ Hành Sơn. 17:00: Phố cổ Hội An - Ăn tối. 21:00: Về lại Đà Nẵng.","Xe đưa đón, ăn tối tại Hội An, vé tham quan Ngũ Hành Sơn & Hội An, HDV, nước uống.","Bữa trưa, thuế VAT, tiền tip, chi phí cá nhân.","da nang, son tra, ngu hanh son, hoi an, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 24h miễn phí; Hủy trong ngày phạt 100%.",""
"","DN03","Đà Nẵng: Trải Nghiệm Công Viên Núi Thần Tài 1 Ngày","Tour Miền Trung","1 ngày","Xe ô tô du lịch","780.000 đ","580.000 đ","Thư giãn, tắm khoáng nóng và vui chơi giải trí tại Công viên khoáng nóng Núi Thần Tài.","08:00: Khởi hành đi Núi Thần Tài. 09:00: Tắm khoáng nóng, công viên nước. 12:00: Ăn trưa buffet. 14:00: Trải nghiệm tắm bùn, luộc trứng khoáng. 16:30: Xe đưa về Đà Nẵng.","Xe đưa đón, vé vào cổng trọn gói Công viên Núi Thần Tài, ăn trưa buffet, HDV.","Dịch vụ tắm bùn cao cấp, chi phí cá nhân, thuế VAT.","da nang, nui than tai, tam khoang, tour 1 ngay","Trẻ em <1m miễn phí; Hủy trước 24h phạt 30%.",""
"","DN04","Đà Nẵng - Huế - Hội An - Phong Nha 4N3Đ","Tour Miền Trung","4 ngày 3 đêm","Xe ô tô du lịch","4.850.000 đ","3.650.000 đ","Hành trình di sản Miền Trung đưa bạn ghé thăm Cố đô Huế, Phố cổ Hội An và động Phong Nha kỳ vĩ.","N1: Đón khách - Đà Nẵng - Hội An (Ăn T/T). N2: Đà Nẵng - Huế - Đại Nội - Chùa Thiên Mụ (Ăn S/T/T). N3: Huế - Quảng Bình - Động Phong Nha (Ăn S/T/T). N4: Huế - Mua sắm - Tiễn sân bay (Ăn S/T).","Xe đời mới, KS 3 sao, ăn các bữa theo chương trình, vé tham quan, vé thuyền Phong Nha, HDV.","Vé cáp treo (nếu có), thuế VAT, tiền tip, chi phí cá nhân.","da nang, hue, phong nha, di san mien trung, tour 4n3d","Trẻ em <5t miễn phí; Hủy trước 5 ngày phạt 50%; Hủy trong 3 ngày phạt 100%.",""
"ĐÀ LẠT","DL01","Đà Lạt: Thành Phố Ngàn Hoa - Langbiang 3N2Đ","Tour Tây Nguyên","3 ngày 2 đêm","Xe ô tô du lịch","2.650.000 đ","1.950.000 đ","Hành trình nghỉ dưỡng thơ mộng tại Đà Lạt, chinh phục đỉnh Langbiang và thăm các vườn hoa nổi tiếng.","N1: Đón bến xe/sân bay - Quảng trường Lâm Viên - Vườn hoa (Ăn T/T). N2: Đỉnh Langbiang - Thung lũng Tình Yêu (Ăn S/T/T). N3: Datanla - Chợ Đà Lạt - Tiễn khách (Ăn S/T).","Xe đưa đón, KS 3 sao, ăn các bữa theo chương trình, vé tham quan, HDV.","Vé xe jeep Langbiang, vé máng trượt Datanla, thuế VAT, tiền tip.","da lat, langbiang, thung luong tinh yêu, tour 3n2d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%.","dl01-1.jfif
dl01-2.jpg"
"","DL02","Đà Lạt: Săn Mây - Check-in Nông Trại 1 Ngày","Tour Tây Nguyên","1 ngày","Xe ô tô / Xe 16 chỗ","450.000 đ","320.000 đ","Trải nghiệm đón bình minh săn mây sớm, chụp hình tại thảm gỗ và nông trại cừu cực hot.","04:00: Săn mây Cầu Đất. 07:00: Ăn sáng. 08:30: Nông trại cừu / Vườn dâu tây. 11:30: Ăn trưa. 13:30: Chika Farm / Thảm gỗ. 16:00: Xe đưa về KS.","Xe đón tận nơi, bữa ăn sáng + trưa, vé vào cổng các điểm check-in, nước uống.","Chi phí hái dâu mang về, thuế VAT, chi phí cá nhân.","da lat, san may, cau dat, nong trai cuu, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 24h phạt 30%.","dl02-1.jpg
dl02-2.webp"
"","DL03","Đà Lạt: Khám Phá Thác Datanla & Chùa Ve Chai 1 Ngày","Tour Tây Nguyên","1 ngày","Xe ô tô du lịch","500.000 đ","350.000 đ","Tham quan các danh thắng tâm linh và thiên nhiên nổi tiếng: Thác Datanla, Chùa Linh Phước, Thiền viện Trúc Lâm.","08:15: Đón khách. 08:30: Datanla (trải nghiệm máng trượt). 10:30: Thiền viện Trúc Lâm - Hồ Tuyền Lâm. 12:00: Ăn trưa. 13:30: Chùa Linh Phước. 16:00: Trả khách.","Xe đưa đón, vé tham quan các điểm, ăn trưa, HDV suốt tuyến.","Vé máng trượt Datanla, cáp treo Trúc Lâm, thuế VAT.","da lat, datanla, chua linh phuoc, truc lam, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 12h phạt 50%.","dl03-2.jpg
dl03-1.webp"
"","DL04","Đà Lạt: Glamping Cắm Trại Đồi Đa Phú 2N1Đ","Tour Tây Nguyên","2 ngày 1 đêm","Xe jeep / Ô tô","1.250.000 đ","900.000 đ","Trải nghiệm cắm trại cao cấp trên đồi, đốt lửa trại, ăn tiệc BBQ ngắm hoàng hôn và bình minh Đà Lạt.","N1: 15:00 Đón tại trung tâm - Di chuyển lên đồi Đa Phú - Dựng lều - Ăn tối BBQ & Đốt lửa trại. N2: 05:30 Săn mây, ăn sáng, pha cà phê - 09: 00 Thu dọn lều, xe đưa về lại trung tâm.","Lều cắm trại chuyên dụng, tiệc BBQ tối, ăn sáng + cà phê, dụng cụ cắm trại, bảo hiểm.","Chi phí vệ sinh cá nhân ngoài gói, nước uống ngoài chương trình, thuế VAT.","da lat, glamping, cam trai, doi da phu, tour 2n1d","Không hoàn tiền nếu hủy trong vòng 48h trước giờ đi.","dl04-1.jpg
dl04-2.jpg"
"PHÚ QUỐC","PQ01","Phú Quốc: Thiên Đường Đảo Ngọc - Grand World 3N2Đ","Tour Miền Nam","3 ngày 2 đêm","Xe ô tô & Tàu du lịch","3.850.000 đ","2.850.000 đ","Tận hưởng nghỉ dưỡng biển xanh, vui chơi tại thành phố không ngủ Grand World và lặn ngắm san hô.","N1: Đón sân bay - Dinh Cậu - Grand World (Ăn T/T). N2: Câu cá lặn ngắm san hô - Bãi Sao (Ăn S/T/T). N3: Mua sắm ngọc trai/nước mắm - Tiễn sân bay (Ăn S).","Xe đưa đón, Resort/KS 3-4 sao, các bữa ăn, tàu câu san hô, HDV, bảo hiểm.","Vé VinWonders/Safari, thuế VAT, tiền tip, chi phí cá nhân.","phu quoc, grand world, bai sao, tour 3n2d","Trẻ em <5t miễn phí; Hủy trước 5 ngày phạt 50%.","pq01-1.jpg
pq01-2.jpeg"
"","PQ02","Phú Quốc: Cano Khám Phá 4 Đảo - Cáp Treo Hòn Thơm 1 Ngày","Tour Miền Nam","1 ngày","Cano cao tốc & Cáp treo","1.150.000 đ","850.000 đ","Hành trình vèo vèo vượt sóng ghé 4 đảo đẹp nhất Phú Quốc kết hợp đi cáp treo vượt biển dài nhất thế giới.","08:00: Đón tại KS ra cảng An Thới. 09:00: Khám phá Hòn Mây Rút, Hòn Móng Tay, Hòn Gầm Ghì. 12:00: Ăn trưa hải sản trên đảo. 14:00: Cáp treo Hòn Thơm. 17:00: Về lại KS.","Cano cao tốc, vé cáp treo Hòn Thơm, bữa ăn trưa hải sản 8 món, dụng cụ lặn ngắm san hô, HDV.","Chi phí đi bộ dưới biển (Seawalker), thuế VAT, chi phí cá nhân.","phu quoc, cano 4 dao, hon thom, cap treo, tour 1 ngay","Trẻ em <1m miễn phí; Hủy trước 24h phạt 20%.","pq02-1.webp
pq02-2.jpg"
"","PQ03","Phú Quốc: Chắp Cánh Trải Nghiệm VinWonders & Safari 2N1Đ","Tour Miền Nam","2 ngày 1 đêm","Xe ô tô du lịch","2.950.000 đ","2.200.000 đ","Trải nghiệm khám phá thế giới động vật bán hoang dã Safari và công viên chủ đề VinWonders hàng đầu Châu Á.","N1: Đón sân bay - Vườn thú Safari - Xem Show Biểu diễn chim (Ăn T/T). N2: Oanh tạc VinWonders - Tiễn sân bay (Ăn S/T).","KS 4 sao nội khu Vinpearl, vé Safari + VinWonders, các bữa ăn theo tour, HDV.","Chi phí xe điện trong Safari, thuế VAT, tiền tip.","phu quoc, vinwonders, safari, tour 2n1d","Trẻ em <1m miễn phí; Vé Vinpearl hủy phạt 100%.","pq03-1.jpg
pq03-2.jpg"
"","PQ04","Phú Quốc: Câu Mực Đêm Ngắm Hoàng Hôn 1 Buổi","Tour Miền Nam","1 buổi (17:00 - 21:00)","Tàu du lịch","400.000 đ","300.000 đ","Trải nghiệm làm ngư dân lênh đênh trên biển ngắm hoàng hôn và trổ tài câu mực đêm độc đáo.","17:00: Đón tại cảng Dương Đông/An Thới. 17:30: Tàu nhả neo, ngắm hoàng hôn. 18:30: Trải nghiệm câu mực, thưởng thức cháo mực trên tàu. 21:00: Trở về bến tàu.","Tàu du lịch, dụng cụ câu mực, bữa ăn nhẹ trên tàu (cháo mực/chả cá), HDV.","Xe đưa đón từ KS ra cảng (nếu ở xa), thuế VAT.","phu quoc, cau muc dem, hoang hon, tour buoi","Trẻ em <5t miễn phí; Hủy trước 12h không phạt.","pq04-1.png
pq04-2.jpg"
"NHA TRANG","NT01","Nha Trang: Vịnh Ngọc Biển Xanh - VinWonders 3N2Đ","Tour Miền Trung","3 ngày 2 đêm","Xe ô tô du lịch","2.950.000 đ","2.150.000 đ","Kỳ nghỉ biển tuyệt vời kết hợp vui chơi thả ga tại đảo thiên đường VinWonders Nha Trang.","N1: Đón sân bay Cam Ranh - Chùa Long Sơn - Tháp Bà Ponagar (Ăn T/T). N2: Oanh tạc Đảo VinWonders cả ngày (Ăn S/T/T). N3: Mua sắm yến sào/chợ Đầm - Tiễn sân bay (Ăn S/T).","Xe đưa đón, KS 3 sao, ăn uống theo lịch trình, vé tham quan, HDV, bảo hiểm.","Vé VinWonders, dịch vụ tắm bùn Tháp Bà, thuế VAT, tiền tip.","nha trang, vinwonders, thap ba ponagar, tour 3n2d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%.","nt01-1.jpg
nt01-2.jpg"
"","NT02","Nha Trang: Du Thuyền Đêm Ngắm Hoàng Hôn & Tiệc Tối 1 Buổi","Tour Miền Trung","1 buổi (16:30 - 20:30)","Du thuyền sang trọng","1.200.000 đ","840.000 đ","Trải nghiệm đẳng cấp trên du thuyền ngắm hoàng hôn buông xuống Vịnh Nha Trang và dùng bữa tối lãng mạn.","16:30: Đón tại cảng Nha Trang, thưởng thức cocktail chào mừng. 17:30: Ngắm hoàng hôn trên biển. 18:30: Dùng bữa tối lãng mạn với nhạc Live. 20:30: Phục vụ về cảng.","Nước uống chào mừng, bữa tối Set Menu/Buffet cao cấp, nhạc sống, du thuyền vịnh.","Đồ uống có cồn gọi thêm, xe đưa đón KS (nếu ở xa), thuế VAT.","nha trang, du thuyen, hoang hon, tiec toi, tour buoi","Trẻ em <5t miễn phí; Hủy trước 24h phạt 50%.","nt02-1.jpg
nt02-2.webp"
"","NT03","Nha Trang: Tour 3 Đảo VIP - Hòn Mun - Làng Chài 1 Ngày","Tour Miền Trung","1 ngày","Cano cao tốc","650.000 đ","450.000 đ","Đưa bạn đến với khu bảo tồn biển Hòn Mun, lặn ngắm san hô và dùng bữa tại Làng Chài.","08:00: Đón tại KS ra bến cảng. 09:00: Đến Hòn Mun lặn ngắm san hô. 11:30: Đến Làng Chài ăn trưa hải sản. 13:30: Đến Hòn Tằm tắm bùn khoáng. 16:00: Về KS.","Cano cao tốc, vé vào cổng các đảo, ăn trưa hải sản, kính lặn ống thở, HDV.","Dịch vụ dù bay, mô tô nước, tắm bùn Hòn Tằm gói cao cấp, thuế VAT.","nha trang, tour 3 dao, hon mun, lang chai, tour 1 ngay","Trẻ em <1m miễn phí; Hủy trước 12h phạt 30%.","nt03-2.jpg
nt03-1.jpeg"
"","NT04","Nha Trang: Khám Phá Điệp Sơn - Dốc Lết 1 Ngày","Tour Miền Trung","1 ngày","Xe ô tô & Cano","720.000 đ","500.000 đ","Chinh phục con đường đi bộ giữa biển độc đáo tại Đảo Điệp Sơn và tắm biển Dốc Lết.","07:30: Đón tại Nha Trang đi Cảng Vạn Giã. 09:15: Đi cano ra Điệp Sơn, đi bộ trên con đường giữa biển. 12:00: Ăn trưa hải sản. 14:00: Di chuyển sang Bãi biển Dốc Lết. 16:30: Về Nha Trang.","Xe đưa đón, cano khứ hồi, ăn trưa hải sản, vé tham quan Dốc Lết, HDV.","Chi phí chơi trò chơi nước tại Dốc Lết, chi phí cá nhân, thuế VAT.","nha trang, diep son, doc let, duong giua bien, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 24h phạt 30%.","nt04-1.jpg
nt04-2.webp"
"HẠ LONG","HL01","Hạ Long: Nghỉ Dưỡng Du Thuyền 5 Sao 2N1Đ","Tour Miền Bắc","2 ngày 1 đêm","Du thuyền 5 sao & Xe Dcar","3.450.000 đ","2.550.000 đ","Trải nghiệm không gian nghỉ dưỡng đẳng cấp trên vịnh Hạ Long với phòng nghỉ hướng biển và các hoạt động sang chảnh.","N1: 12:00 Check-in Du thuyền - Ăn trưa - Thăm Hang Sáng Tối - Chèo Kayak - Tiệc Sunset (Ăn T/T). N2: Tập Taichi - Thăm Hang Sửng Sốt - 11: 30 Trả phòng - Ăn trưa - Trở về cảng (Ăn S/T).","Phòng nghỉ Du thuyền 5 sao, 4 bữa ăn tiêu chuẩn, vé tham quan vịnh, chèo kayak, TaiChi, HDV.","Xe đưa đón Hà Nội - Hạ Long (phụ thu), Đồ uống ngoài chương trình, Thuế VAT.","ha long, du thuyen 5 sao, hang sung sot, titop, tour 2n1d","Trẻ em <5t miễn phí 1 bé; Hủy trước 7 ngày phạt 30%; Hủy trong 3 ngày phạt 100%.","hl01-2.jpg
hl01-1.jpg"
"","HL02","Hạ Long: Tham Quan Vịnh 6 Tiếng Tuyến 2 (1 Ngày)","Tour Miền Bắc","1 ngày (08:00 - 16:30)","Tàu sắt/Tàu VIP 1 ngày","850.000 đ","650.000 đ","Hành trình 6 tiếng thăm các danh thắng huyền thoại: Hang Sửng Sốt, Đảo TiTop, Hang Luồn.","08:00: Đón tại cảng Tuần Châu. 09:00: Thăm Hang Sửng Sốt. 11:00: Chèo Kayak tại Hang Luồn. 12:00: Ăn trưa buffet trên tàu. 13:30: Tắm biển/leo núi Đảo TiTop. 16:30: Về cảng.","Vé tham quan Vịnh Hạ Long, ăn trưa buffet/set menu, thuyền kayak/đò chèo, HDV.","Xe đưa đón từ Hà Nội (nếu cần), đồ uống, chi phí cá nhân, thuế VAT.","ha long, tuyen 2, hang sung sot, kayak, tour 1 ngay","Trẻ em <1m2 tính giá trẻ em; Hủy trước 24h không phạt.","hl02-1.jpg
hl02-2.jpeg"
